	Unnamed: 0	Unnamed: 0.1	Year	Player	Pos	Age	Tm	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	height	weight	cluster_ID
9495	12804	20286	2010	JaVale McGee	C	22	WAS	60	968.0	0.632231404959	0.539	0.003	0.378	10.3	18.7	14.5	2.4	0.9	8.0	12.5	19.1	0.0297520661157	0.048347107438	0.0780991735537	0.105	-0.119008264463	0.0632231404959	-0.0557851239669	0.00371900826446	5.80165289256	11.4173553719	0.508	0.0	0.0371900826446	0.0	5.80165289256	11.3801652893	0.51	0.508	2.7520661157	4.31404958678	0.638	3.27272727273	5.76446280992	9.03719008264	0.520661157025	0.595041322314	3.75619834711	1.89669421488	4.53719008264	14.3553719008	213.0	122.0	3
11674	15017	24083	2016	Jeff Withey	C	25	UTA	51	658.0	0.968389057751	0.577	0.012	0.364	10.0	20.7	15.4	5.0	1.7	6.8	13.0	15.1	0.0601823708207	0.0711246200608	0.125835866261	0.171	-0.109422492401	0.202431610942	0.093009118541	0.0328267477204	4.75987841945	8.8632218845	0.537	0.0	0.109422492401	0.0	4.75987841945	8.7537993921	0.544	0.537	2.35258358663	3.22796352584	0.729	3.06382978723	6.40121580547	9.46504559271	1.09422492401	1.14893617021	2.89969604863	1.53191489362	4.10334346505	11.8723404255	213.0	104.0	3
11831	15174	24333	2017	Nene Hilario	C	34	HOU	67	1198.0	0.567946577629	0.63	0.023	0.496	8.6	16.9	12.8	8.6	2.2	2.7	13.1	19.7	0.0751252086811	0.0480801335559	0.123205342237	0.165	-0.012020033389	0.0270450751252	0.0150250417362	0.024040066778	7.36227045075	11.9298831386	0.617	0.0901502504174	0.270450751252	0.333	7.27212020033	11.6594323873	0.624	0.621	3.4858096828	5.91986644407	0.589	2.85475792988	5.58931552588	8.44407345576	1.95325542571	1.68280467446	1.2020033389	2.19365609349	4.89816360601	18.3005008347	211.0	113.0	3
11208	14546	23277	2015	Timofey Mozgov	C	28	CLE	46	1148.0	0.586411149826	0.621	0.0	0.389	11.4	20.4	15.9	5.6	0.8	3.9	15.0	18.1	0.0783972125436	0.0407665505226	0.122299651568	0.161	-0.00627177700348	0.0250871080139	0.0188153310105	0.0250871080139	6.17770034843	10.4738675958	0.59	0.0	0.0	0.0	6.17770034843	10.4738675958	0.59	0.59	2.8850174216	4.07665505226	0.708	3.51219512195	6.49128919861	10.0034843206	1.22299651568	0.564459930314	1.75609756098	2.1637630662	3.54355400697	15.2404181185	216.0	124.0	3
11207	14545	23275	2015	Timofey Mozgov	C	28	TOT	81	2045.0	0.292224938875	0.594	0.011	0.382	11.0	21.4	16.1	4.3	0.8	3.7	14.9	16.9	0.0616136919315	0.038728606357	0.100342298289	0.133	-0.0211246943765	0.0140831295844	-0.00704156479218	0.0140831295844	5.52762836186	9.96381418093	0.555	0.0352078239609	0.105623471883	0.333	5.4924205379	9.85819070905	0.557	0.557	2.72860635697	3.80244498778	0.718	3.57359413203	6.83031784841	10.4039119804	0.968215158924	0.580929095355	1.7075794621	2.04205378973	3.99608801956	13.8190709046	216.0	124.0	3
10628	13960	22273	2014	Chris Andersen	C	35	MIA	72	1396.0	0.477077363897	0.683	0.044	0.615	12.1	21.7	17.1	2.1	1.2	6.1	13.2	13.8	0.097994269341	0.0567335243553	0.154727793696	0.205	0.0025787965616	0.0386819484241	0.0412607449857	0.0335243553009	4.56446991404	7.09169054441	0.644	0.0773638968481	0.309455587393	0.25	4.48710601719	6.78223495702	0.662	0.649	3.09455587393	4.35816618911	0.71	3.32664756447	6.44699140401	9.77363896848	0.489971346705	0.825214899713	2.50143266476	1.36676217765	4.1776504298	12.3008595989	208.0	111.0	3
10000	13325	21172	2012	Andris Biedrins	C	25	GSW	47	739.0	0.428687415426	0.581	0.0	0.141	6.9	20.0	13.5	3.0	1.6	4.7	17.1	5.1	0.0292286874154	0.034100135318	0.0633288227334	0.085	-0.15101488498	0.141271989175	-0.00974289580514	0.0146143437077	1.899864682	3.11772665765	0.609	0.0	0.0	0.0	1.899864682	3.11772665765	0.609	0.609	0.0487144790257	0.438430311231	0.111	2.19215155616	6.38159675237	8.57374830853	0.779431664411	1.12043301759	2.19215155616	0.68200270636	6.08930987821	3.84844384303	211.0	108.0	3
10127	13452	21427	2012	DeAndre Jordan	C	23	LAC	66	1798.0	0.328364849833	0.626	0.003	0.433	13.2	23.0	18.1	1.5	0.9	6.2	16.0	11.9	0.0640711902113	0.0480533926585	0.11212458287	0.15	-0.0220244716352	0.0420467185762	0.020022246941	0.0280311457175	4.12458286986	6.52725250278	0.632	0.0	0.020022246941	0.0	4.12458286986	6.50723025584	0.634	0.632	1.48164627364	2.82313681869	0.525	4.04449388209	6.88765294772	10.9321468298	0.340378197998	0.600667408231	2.6829810901	1.48164627364	3.78420467186	9.73081201335	211.0	120.0	3
11641	14983	24030	2016	Jason Thompson	C	29	TOT	47	471.0	1.08535031847	0.558	0.139	0.5	7.9	23.4	15.9	8.5	1.3	3.3	10.2	13.9	0.0687898089172	0.0535031847134	0.122292993631	0.165	-0.0993630573248	0.122292993631	0.0229299363057	0.0229299363057	3.97452229299	8.25477707006	0.481	0.382165605096	1.14649681529	0.333	3.5923566879	7.10828025478	0.505	0.505	2.90445859873	4.12738853503	0.704	2.44585987261	7.79617834395	10.2420382166	2.21656050955	0.917197452229	1.52866242038	1.14649681529	6.11464968153	11.2356687898	185.0	83.0	3
11840	15183	24345	2017	Dwight Howard	C	31	ATL	74	2199.0	0.340518417462	0.627	0.003	0.692	15.0	31.7	23.5	7.8	1.4	3.6	17.5	19.2	0.062210095498	0.0736698499318	0.13587994543	0.181	-0.00818553888131	0.0458390177353	0.037653478854	0.0392905866303	6.3519781719	10.0354706685	0.633	0.0	0.0327421555252	0.0	6.3519781719	10.002728513	0.635	0.633	3.69986357435	6.94133697135	0.533	4.84583901774	10.5429740791	15.3888130969	1.70259208731	1.04774897681	1.50613915416	2.78308321965	3.32332878581	16.4038199181	211.0	120.0	3
9709	13022	20656	2011	Erick Dampier	C	35	MIA	51	815.0	0.428466257669	0.591	0.011	0.494	8.2	17.1	12.9	3.8	0.9	4.5	22.8	8.1	0.0220858895706	0.0618404907975	0.0839263803681	0.109	-0.123680981595	0.132515337423	0.0132515337423	0.0220858895706	2.29693251534	3.93128834356	0.584	0.0	0.0441717791411	0.0	2.29693251534	3.88711656442	0.591	0.584	1.06012269939	1.94355828221	0.545	2.34110429448	5.4773006135	7.81840490798	0.971779141104	0.618404907975	2.07607361963	1.41349693252	3.62208588957	5.65398773006	211.0	120.0	3
11643	14985	24034	2016	Tristan Thompson	PF	24	CLE	82	2269.0	0.252269722345	0.611	0.0	0.576	13.5	23.3	18.4	4.0	0.9	1.8	10.4	11.7	0.0888497135302	0.0491846628471	0.138034376377	0.185	0.00317320405465	0.0206258263552	0.0237990304099	0.0317320405465	3.91890700749	6.66372851476	0.588	0.0	0.0	0.0	3.91890700749	6.66372851476	0.588	0.588	2.36403702071	3.83957690613	0.616	4.25209343323	7.45702952843	11.7091229617	0.983693256941	0.602908770383	0.809167033936	0.967827236668	3.2049360952	10.2018510357	206.0	107.0	3
10352	13677	21799	2013	Samuel Dalembert	C	31	MIL	47	765.0	0.875294117647	0.565	0.004	0.217	14.2	24.9	19.4	4.5	1.1	5.1	15.5	18.7	0.0423529411765	0.0564705882353	0.103529411765	0.137	-0.108235294118	0.0470588235294	-0.0564705882353	0.00470588235294	6.44705882353	11.9058823529	0.542	0.0470588235294	0.0470588235294	1.0	6.4	11.8588235294	0.54	0.543	1.78823529412	2.58823529412	0.691	4.94117647059	8.04705882353	12.9882352941	0.988235294118	0.8	2.49411764706	2.4	4.23529411765	14.7294117647	211.0	115.0	3
9713	13026	20662	2011	Ed Davis	PF	21	TOR	65	1602.0	0.355056179775	0.583	0.0	0.343	12.1	22.3	17.1	3.8	1.3	3.2	10.1	13.3	0.0651685393258	0.0247191011236	0.0898876404494	0.119	-0.00224719101124	0.0112359550562	0.00674157303371	0.0202247191011	4.83146067416	8.38202247191	0.576	0.0	0.0	0.0	4.83146067416	8.38202247191	0.576	0.576	1.59550561798	2.87640449438	0.555	3.77528089888	6.60674157303	10.3820224719	0.898876404494	0.876404494382	1.50561797753	1.07865168539	4.11235955056	11.2584269663	208.0	108.0	3
10374	13700	21835	2013	Reggie Evans	PF	32	BRK	80	1967.0	0.234265378749	0.506	0.0	0.851	15.5	38.0	26.7	3.2	2.0	0.5	23.6	11.0	0.0146415861718	0.0640569395018	0.0786985256736	0.105	-0.0585663446873	0.0237925775292	-0.0329435688866	0.00183019827148	2.28774783935	4.77681748856	0.479	0.0	0.0	0.0	2.28774783935	4.77681748856	0.479	0.479	2.06812404677	4.06304016268	0.509	4.75851550585	11.4936451449	16.2521606507	0.786985256736	1.35434672089	0.237925775292	2.03152008134	3.64209456024	6.64361972547	203.0	111.0	3
10355	13681	21803	2013	Ed Davis	C	23	TOR	45	1087.0	0.599448022079	0.57	0.0	0.301	10.2	22.8	16.4	8.8	1.2	2.8	10.5	18.3	0.0695492180313	0.0397424103036	0.109291628335	0.147	0.0	0.033118675253	0.033118675253	0.0264949402024	6.16007359706	11.2272309108	0.549	0.0	0.0	0.0	6.16007359706	11.2272309108	0.549	0.549	2.1858325667	3.3781048758	0.647	3.14627414903	6.78932842686	9.9356025759	1.82152713891	0.827966881325	1.25850965961	1.49034038638	3.67617295308	14.5059797608	208.0	108.0	3
9504	12813	20309	2010	Nazr Mohammed	C	32	CHA	58	984.0	0.717073170732	0.578	0.0	0.365	14.2	22.9	18.6	5.4	0.8	3.6	11.8	21.3	0.0658536585366	0.0658536585366	0.131707317073	0.174	-0.0365853658537	0.0109756097561	-0.0256097560976	0.0109756097561	6.91463414634	12.512195122	0.553	0.0	0.0	0.0	6.91463414634	12.512195122	0.553	0.553	2.96341463415	4.57317073171	0.648	4.17073170732	6.9512195122	11.1219512195	1.0243902439	0.548780487805	1.57317073171	1.93902439024	3.84146341463	16.7926829268	208.0	100.0	3
10365	13691	21822	2013	Andre Drummond	C	19	DET	60	1243.0	0.625583266291	0.578	0.006	0.465	15.4	27.2	21.2	4.1	2.5	6.1	12.2	17.2	0.0637168141593	0.0666130329847	0.130329847144	0.172	-0.00868865647627	0.075301689461	0.0695092518101	0.0405470635559	6.02413515688	9.90506838294	0.608	0.0289621882542	0.0579243765084	0.5	5.99517296862	9.84714400644	0.609	0.61	1.708769107	4.60498793242	0.371	4.89460981496	8.34111021722	13.2357200322	0.868865647627	1.708769107	2.75140788415	1.65084473049	4.17055510861	13.786001609	211.0	126.0	3
11652	14994	24047	2016	Jonas Valanciunas	C	23	TOR	60	1557.0	0.522543352601	0.61	0.0	0.397	13.8	26.3	20.1	4.8	0.8	4.2	11.9	20.9	0.104046242775	0.0554913294798	0.159537572254	0.211	0.0161849710983	0.00924855491329	0.0254335260116	0.0277456647399	7.00578034682	12.3930635838	0.565	0.0	0.0	0.0	7.00578034682	12.3930635838	0.565	0.565	3.74566473988	4.92485549133	0.761	4.25433526012	8.39306358382	12.6473988439	0.971098265896	0.578034682081	1.84971098266	1.96531791908	3.65317919075	17.7572254335	213.0	120.0	3
10120	13445	21407	2012	Amir Johnson	PF	24	TOR	64	1553.0	0.333805537669	0.6	0.015	0.247	11.4	19.4	15.4	8.7	1.1	3.6	20.0	14.3	0.0440437862202	0.0463618802318	0.0927237604636	0.122	-0.011590470058	0.0625885383129	0.050998068255	0.0370895041854	4.54346426272	7.88151963941	0.576	0.0463618802318	0.11590470058	0.4	4.49710238249	7.76561493883	0.579	0.579	1.34449452672	1.94719896974	0.69	3.45396007727	6.00386349002	9.45782356729	1.83129426916	0.764971023825	1.599484868	2.1790083709	4.84481648422	10.4777849324	206.0	108.0	3
11232	14570	23324	2015	Miles Plumlee	C	26	PHO	54	1005.0	0.469253731343	0.55	0.0	0.195	10.3	19.7	14.9	3.9	1.7	4.2	17.5	11.2	0.0286567164179	0.0501492537313	0.075223880597	0.102	-0.0967164179104	0.0967164179104	0.0	0.0179104477612	3.8328358209	6.98507462687	0.549	0.0	0.0	0.0	3.8328358209	6.98507462687	0.549	0.549	0.680597014925	1.36119402985	0.5	3.40298507463	6.41194029851	9.81492537313	0.967164179104	1.25373134328	1.97014925373	1.61194029851	3.54626865672	8.34626865672	211.0	112.0	3
11231	14569	23323	2015	Miles Plumlee	C	26	TOT	73	1194.0	0.404020100503	0.536	0.0	0.181	10.3	19.3	14.8	4.2	1.7	4.3	15.7	12.0	0.027135678392	0.051256281407	0.078391959799	0.103	-0.0844221105528	0.0753768844221	-0.00603015075377	0.0150753768844	4.10050251256	7.65829145729	0.535	0.0	0.0	0.0	4.10050251256	7.65829145729	0.535	0.535	0.663316582915	1.38693467337	0.478	3.37688442211	6.27135678392	9.64824120603	1.02512562814	1.23618090452	1.98994974874	1.53768844221	3.34673366834	8.86432160804	211.0	112.0	3
11230	14568	23322	2015	Mason Plumlee	C	24	BRK	82	1743.0	0.371772805508	0.57	0.006	0.648	11.3	21.6	16.5	7.0	1.9	2.9	14.4	19.2	0.0516351118761	0.047504302926	0.0991394148021	0.131	-0.0103270223752	0.0289156626506	0.0165232358003	0.0247848537005	5.78313253012	10.099827883	0.573	0.0	0.0619621342513	0.0	5.78313253012	10.0378657487	0.576	0.573	3.24268502582	6.54733218589	0.495	3.61445783133	6.9604130809	10.5748709122	1.52839931153	1.34251290878	1.30120481928	2.18932874355	4.27538726334	14.8089500861	211.0	111.0	3
11837	15180	24341	2017	Richaun Holmes	C	23	PHI	57	1193.0	0.56127409891	0.611	0.187	0.25	8.7	20.1	14.4	8.3	1.7	3.7	10.7	18.6	0.0663872590109	0.048281642917	0.111651299246	0.151	0.00603520536463	0.0452640402347	0.0512992455993	0.0331936295054	6.94048616932	12.4325230511	0.558	0.814752724225	2.32355406538	0.351	6.1257334451	10.1089689858	0.606	0.591	2.17267393127	3.10813076278	0.699	2.83654652137	6.54819782062	9.38474434199	1.75020955574	1.26739312657	1.65968147527	1.65968147527	4.10393964795	16.8683989941	208.0	111.0	3
