	Unnamed: 0	Unnamed: 0.1	Year	Player	Pos	Age	Tm	G	MP	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	OWS	DWS	WS	WS/48	OBPM	DBPM	BPM	VORP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	height	weight	cluster_ID
1073	4296	6567	1982	Bob Gross	SF	28	POR	59	1377.0	0.360784313725	0.581	0.019	0.323	8.3	12.7	10.5	11.5	2.6	1.7	19.3	13.6	0.0392156862745	0.0418300653595	0.081045751634	0.108	0.0104575163399	0.0575163398693	0.0653594771242	0.0418300653595	4.52287581699	8.41830065359	0.537	0.078431372549	0.156862745098	0.5	4.44444444444	8.2614379085	0.538	0.542	2.03921568627	2.71895424837	0.75	2.64052287582	4.13071895425	6.77124183007	3.26797385621	1.96078431373	1.07189542484	2.30065359477	4.23529411765	11.1633986928	198.0	90.0	5
1070	4293	6563	1982	Dave Greenwood	PF	24	CHI	82	2914.0	0.191489361702	0.525	0.003	0.287	7.8	22.2	15.3	13.2	1.2	1.8	13.6	19.0	0.0395332875772	0.0395332875772	0.0803019903912	0.107	-0.00123541523679	0.0185312285518	0.017295813315	0.0308853809197	5.92999313658	12.527110501	0.473	0.0	0.0370624571036	0.0	5.92999313658	12.4900480439	0.475	0.473	2.96499656829	3.59505833905	0.825	2.37199725463	7.33836650652	9.71036376115	3.23678792038	0.864790665752	1.14893617021	2.22374742622	3.60741249142	14.8249828415	206.0	100.0	5
16	3234	5034	1978	Ron Behagen	PF	27	IND	51	1131.0	0.429708222812	0.46	0.0	0.324	12.3	16.5	14.3	8.4	1.3	0.9	15.4	24.4	0.00318302387268	0.0318302387268	0.0350132625995	0.048	-0.0509283819629	-0.0541114058355	-0.105039787798	-0.0127320954907	7.06631299735	17.3156498674	0.408	0.0	0.0	0.0	7.06631299735	17.3156498674	0.408	0.408	4.07427055703	5.60212201592	0.727	4.64721485411	5.95225464191	10.599469496	2.06896551724	1.01856763926	0.604774535809	3.59681697613	5.09283819629	18.2068965517	206.0	83.0	5
1799	5022	7588	1985	Tony Brown	SF	24	IND	82	1586.0	0.245145018916	0.503	0.013	0.368	9.6	9.5	9.6	13.4	1.7	0.4	17.7	16.3	0.00907944514502	0.0317780580076	0.0408575031526	0.054	-0.0295081967213	0.00226986128625	-0.0249684741488	0.00680958385876	4.85750315259	10.5548549811	0.46	0.0	0.136191677175	0.0	4.85750315259	10.4186633039	0.466	0.46	2.63303909206	3.8814627995	0.678	3.31399747793	3.22320302648	6.53720050441	3.60907944515	1.33921815889	0.272383354351	2.63303909206	4.81210592686	12.3480453972	198.0	83.0	5
1068	4291	6561	1982	Glen Gondrezick	SF	26	DEN	80	1699.0	0.315715126545	0.559	0.006	0.438	9.1	17.4	13.3	10.4	2.4	1.1	14.5	15.4	0.0550912301354	0.0211889346675	0.0762801648028	0.102	0.0211889346675	0.00847557386698	0.0296645085344	0.0317834020012	5.29723366686	10.4885226604	0.505	0.0	0.0635668040024	0.0	5.29723366686	10.4249558564	0.508	0.505	3.39022954679	4.59799882284	0.737	2.96645085344	5.99646851089	8.96291936433	3.22071806945	1.94938198941	0.762801648028	2.11889346675	4.85226603885	13.9846968805	198.0	98.0	5
1067	4290	6560	1982	Mike Gminski	C	22	NJN	64	740.0	0.744324324324	0.52	0.0	0.437	10.6	17.9	14.2	7.7	1.1	3.8	14.8	20.4	0.0291891891892	0.0583783783784	0.0875675675676	0.119	-0.121621621622	0.0535135135135	-0.0681081081081	0.00486486486486	5.78918918919	13.1351351351	0.441	0.0	0.0	0.0	5.78918918919	13.1351351351	0.441	0.441	4.71891891892	5.74054054054	0.822	3.40540540541	5.64324324324	9.04864864865	1.99459459459	0.827027027027	2.33513513514	2.72432432432	3.35675675676	16.2972972973	211.0	113.0	5
17	3235	5036	1978	Kent Benson	C	23	MIL	69	1288.0	0.368944099379	0.497	0.0	0.298	7.2	17.2	12.1	9.8	2.4	2.2	18.2	19.3	0.0055900621118	0.0419254658385	0.0475155279503	0.064	-0.0531055900621	0.0251552795031	-0.027950310559	0.0083850931677	6.14906832298	13.2204968944	0.465	0.0	0.0	0.0	6.14906832298	13.2204968944	0.465	0.465	2.57142857143	3.94099378882	0.652	2.48757763975	5.75776397516	8.24534161491	2.76708074534	1.92857142857	1.50931677019	3.32608695652	4.94720496894	14.8695652174	208.0	106.0	5
1804	5027	7593	1985	Michael Cage	PF	23	LAC	75	1610.0	0.27950310559	0.582	0.0	0.344	9.0	17.7	13.5	4.2	1.2	1.1	15.0	13.7	0.040248447205	0.0313043478261	0.0715527950311	0.096	-0.0245962732919	0.0	-0.0245962732919	0.00894409937888	4.8298136646	8.89937888199	0.543	0.0	0.0	0.0	4.8298136646	8.89937888199	0.543	0.543	2.25838509317	3.06335403727	0.737	2.81739130435	5.94782608696	8.7652173913	1.14037267081	0.916770186335	0.715527950311	1.81118012422	3.66708074534	11.9180124224	206.0	101.0	5
15	3233	5031	1978	Ron Behagen	PF	27	TOT	80	1735.0	0.294639769452	0.477	0.0	0.307	11.3	18.9	15.0	8.7	1.6	1.0	16.0	24.1	0.00829971181556	0.0414985590778	0.0497982708934	0.066	-0.0311239193084	-0.0207492795389	-0.0497982708934	-0.00414985590778	7.17925072046	16.6824207493	0.43	0.0	0.0	0.0	7.17925072046	16.6824207493	0.43	0.43	3.71412103746	5.12507204611	0.725	4.17060518732	6.47377521614	10.6443804035	2.09567723343	1.28645533141	0.643227665706	3.61037463977	5.45706051873	18.0726224784	206.0	83.0	5
1806	5029	7596	1985	Antoine Carr	PF	23	ATL	62	1195.0	0.391631799163	0.578	0.016	0.341	7.3	13.8	10.6	9.5	1.2	3.7	20.0	18.6	0.0180753138075	0.0451882845188	0.0632635983264	0.084	-0.0451882845188	0.0542259414226	0.00903765690377	0.0210878661088	5.96485355649	11.2970711297	0.528	0.0602510460251	0.180753138075	0.333	5.90460251046	11.1163179916	0.531	0.531	3.04267782427	3.85606694561	0.789	2.37991631799	4.60920502092	6.98912133891	2.410041841	0.873640167364	2.34979079498	3.25355648536	6.59748953975	15.0326359833	206.0	102.0	5
