	2P	2P%	2PA	3P	3P%	3PA	3PAr	AST	AST%	Age	BLK	BLK%	BPM	DBPM	DRB	DRB%	DWS	FG	FG%	FGA	FT	FT%	FTA	FTr	G	MP	OBPM	ORB	ORB%	OWS	PER	PF	PTS	STL	STL%	TOV	TOV%	TRB	TRB%	TS%	USG%	Unnamed: 0	Unnamed: 0.1	VORP	WS	WS/48	Year	eFG%	height	weight	cluster_ID
1586	-1.80048484912	-1.68477384281	-1.61537479346	-0.426698873782	-0.809442428704	-0.534841391954	-0.536768008346	-1.07163286326	-1.14033057743	1.41330178285	0.622456940581	0.76530015154	-0.225149436729	2.48301086656	0.054941891242	0.293575370706	1.57839780045	-1.86704559785	-1.51201323557	-1.71414343007	-1.41365065411	-0.383467794598	-1.45381225313	-0.670962466929	-0.549660825036	-1.25176081921	-1.78071940793	0.460432699011	0.747794198469	-1.5215322442	-0.45207769878	2.12981067347	-1.93670160914	-0.0954083062041	-0.00618620588712	-0.939906974789	1.23091369758	0.208357467645	0.488158489904	-1.73235634612	-1.7883556027	0.055808944999	0.0459898422729	-0.308040223807	-0.762364646093	-0.740745870511	0.122042765252	-1.64314044714	0.685597436497	0.578220635367	2
1221	-1.5245256321	0.661469535355	-1.73670503587	-0.426698873782	-0.809442428704	-0.337571707407	-0.143908031453	-0.507179594198	-0.626292143914	1.10880228213	0.300604579095	0.371619853291	-0.949567522973	1.13909121534	-0.93044541825	-0.888526436804	0.210633966556	-1.59140354909	0.502209027053	-1.78852299749	1.40211505088	0.76834919007	1.16919799618	4.69316204342	-2.62834942969	-1.75934038236	-1.75325163834	-0.748419820708	-0.726749848031	0.507664517833	3.18421499279	0.838538913498	-0.881288390383	-0.623816841149	-0.690006734344	-0.481541877559	1.03923326012	-0.911736504542	-0.873306328998	2.12445839424	-1.39878281338	-0.354203461342	-0.354250896148	-0.48522877781	0.557825309449	0.6023671753	-0.455826907506	0.408053485292	-1.62937009016	-1.30306259648	2
1223	-0.869132723695	0.438017785053	-1.02964844142	-0.426698873782	-0.809442428704	-0.534841391954	-0.536768008346	-0.957497968965	-1.04469552004	-1.32719372358	-0.164049598629	-0.179532564259	0.16596917872	0.270541065627	0.0338825171329	0.0637222414677	-0.251641833482	-0.936763903534	0.567890187791	-1.13701018249	-1.15009068189	-0.416376851303	-1.15441337138	-0.663131628228	-0.0299886738713	-0.750859934518	0.0389888866752	0.896101497327	0.988536083611	-0.0173490685412	-0.145444347344	1.96252955287	-1.11614808983	-0.0991454686405	-0.00618620588712	-1.44219805554	-0.326489856734	0.355743122998	0.421201203729	0.152716026979	-1.35549694791	-0.35195681802	-0.352702576077	-0.118814004993	-0.119680186096	-0.0895395452692	-0.455826907506	0.474940243958	0.685597436497	0.390092312182	2
1202	-1.35026857792	1.15306338602	-1.64626152879	-0.426698873782	-0.809442428704	-0.514695459415	-0.504029676939	-1.04810573138	-1.14033057743	-0.718194722153	0.108295144074	0.135411674341	0.675855529796	0.788548163346	2.15198741116	2.23090888857	0.802419440216	-1.4173467738	1.24659551541	-1.73996403092	-1.21700507742	-2.11667811439	-0.89319847734	0.456678306048	0.229847401711	0.592890172142	0.349518147504	2.14895870959	2.07187456675	0.204483327265	-0.821498216921	0.60981269354	-1.51950140059	-0.444233766303	-0.416478522962	-1.34508842706	0.512112057127	2.26387938528	2.25136702586	0.477728505099	-1.85328440091	-0.375546572905	-0.374379057075	0.780472379746	0.475915718806	0.480265989317	-0.455826907506	1.16610341684	0.354887789832	0.390092312182	2
1030	-1.6317507614	-1.12614446706	-1.52700008229	-0.426698873782	-0.809442428704	-0.534841391954	-0.536768008346	-0.458087930311	-0.54261146869	1.71780128356	0.660002648856	0.68656409189	-0.15555497346	2.47492660143	0.850880996677	0.802535871162	1.41723409075	-1.69850544131	-0.964670229422	-1.62706525119	-1.16974769974	0.406349566317	-1.29567497094	-0.459529821996	-1.0693329762	-1.20501006997	-1.69059139689	-0.506965142338	-0.486007962888	-0.889157081184	0.165529261043	0.60958590834	-1.72984113545	-1.2120523219	-1.23706315711	-1.35322148172	0.464191947763	0.391494215679	0.398882108337	-0.97399389717	-1.74506973722	-0.568757898633	-0.567144905947	-0.31519316428	-0.24183368814	-0.272691324243	-0.455826907506	-1.08575079159	1.23678018094	0.578220635367	2
1201	-1.33384225245	0.572088835234	-1.52971596958	-0.426698873782	-0.809442428704	-0.534841391954	-0.536768008346	-0.786384373283	-0.889288551761	-1.02269422287	1.65386878864	1.71013286734	-0.291172562229	0.669478409833	0.133593173956	0.408501935325	-1.30777812591	-1.4009393276	0.699252509266	-1.6297412941	-1.06401677041	-3.1478285578	-0.310217283422	1.37288643409	0.0566233513228	-1.2170316912	-0.762601192342	0.768203953573	0.928350612326	-0.643872169468	0.357277248511	3.05005860391	-1.46101592878	-0.681551619188	-0.690006734344	-0.966254390813	0.655872385217	0.376195405551	0.599753966864	-0.32396894093	-1.5719262753	-0.376669894567	-0.37515321711	-0.313409573928	-1.13582514779	-1.12739962612	-0.455826907506	0.60871376129	0.685597436497	0.860413120145	2
1228	-1.22475246431	0.169875684691	-1.34205897546	-0.426698873782	-0.809442428704	-0.534841391954	-0.536768008346	-0.803240197302	-0.889288551761	0.804302781417	1.16365880075	1.23771650944	0.343585975319	0.583406050837	0.745761628257	0.9502985971	-0.271893358792	-1.29197491965	0.30516554484	-1.44483738791	-0.744011977685	-1.21716389779	-0.498397221476	0.72292682189	0.922743603263	0.152097393615	0.0669163091542	1.22020034012	1.31955617568	0.0049669942359	-0.706310293874	0.0458753440364	-1.27911633422	-1.56938096948	-1.51059136849	-1.32704668295	0.00895090881049	0.961052613155	1.11309316088	0.0227110357311	-1.4637116116	-0.346340209714	-0.347283455827	0.0628042219303	-0.159166861043	-0.150590138261	-0.455826907506	0.207393209293	1.78796292538	0.860413120145	2
1579	-2.05267886468	-0.254682640883	-2.15710681653	-0.426698873782	-0.809442428704	-0.518359710361	-0.487660511235	-0.287956387722	-0.602383379564	0.499803280703	-0.446222359953	-0.494476802858	0.797403799866	0.920548057836	0.346071907266	0.309993451366	-0.571959318231	-2.11894975921	-0.154602580324	-2.24415382049	-1.23255617135	-0.164074083233	-1.28393972237	0.503663338256	0.749519552875	1.25007213285	0.418382630519	0.380827332605	0.23621769254	-0.111136917591	-1.30202259909	-0.705977662775	-2.08398634458	1.75561371633	1.49821895672	-1.94382075169	0.607952275854	0.377148871136	0.264967535986	-0.0639589584342	-2.56750118132	0.0479456933705	0.0382482419166	1.20425262139	-0.338562418257	-0.333741917235	0.122042765252	-0.26081410137	0.134414692055	1.04854144333	2
1046	-1.496816829	-0.478134391184	-1.50661706275	-0.426698873782	-0.809442428704	-0.49021381567	-0.454922179827	-0.242481155581	-0.315478207367	2.02230078427	0.356578412771	0.371619853291	0.552913493076	1.5685825621	0.0786253105248	0.0637222414677	0.198549220959	-1.56372659255	-0.373539782783	-1.59676248064	-1.26344287202	-0.460255593576	-1.27430988279	-0.451698983295	0.229847401711	-1.02869295856	-0.273732401296	0.0852135642326	0.266310428183	-0.362494282756	0.3783293585	0.599236921033	-1.65008912122	0.807416170003	0.951162533953	-1.52091779671	0.152711236901	0.0852002450537	0.175691154419	-0.64898141905	-1.74506973722	-0.550784752054	-0.547790905056	0.400181894443	-0.156934598404	-0.191290533588	-0.455826907506	-0.483769963591	0.906070534273	0.578220635367	2
1818	-1.16853631372	1.01899233584	-1.44456265451	-0.426698873782	-0.809442428704	-0.534841391954	-0.536768008346	-0.910238450274	-1.02078675569	0.499803280703	-0.239811366886	-0.258268623908	0.310942071716	0.499315242042	0.560441644806	0.572682741923	-0.175611950752	-1.23582337997	1.13712691418	-1.54583725068	-1.33498718797	0.713500762229	-1.4975260818	-0.898056789265	-1.50239310217	-1.23038904813	0.0778966318237	1.14822515161	1.34964891133	0.351730031151	0.612633384527	1.92653601311	-1.40965387148	-0.437285168822	-0.416478522962	-1.84686883475	-0.326489856734	0.808077086962	0.912221302349	0.781073484678	-1.89657026639	0.3164195704	0.289850253497	0.210152717143	0.254132428326	0.215713419688	0.410977601631	1.05462548573	0.906070534273	0.390092312182	2
